,index,date,observer,oc,oce,source
0,3,2021-05-18,Yves Jongen,0.7,1.0,ExoClock observation
1,4,2021-04-23,Marc Deldem,-1.8,1.6,ExoClock observation
2,5,2021-04-08,Taewoo Kim,-0.4,0.7,ExoClock observation
3,6,2021-03-18,Yves Jongen,1.8,1.0,ExoClock observation
4,7,2020-05-28,Danilo Sedita,1.3,7.2,ExoClock observation
5,8,2020-05-28,Carmelo Falco,-1.0,1.4,ExoClock observation
6,9,2020-05-28,Alessandro Nastasi,-1.3,1.7,ExoClock observation
7,10,2019-04-17,Yves Jongen,-0.2,1.0,ExoClock observation
8,0,2018-05-05,Mallonn et al. 2019,-1.6,1.8,ExoClock literature
9,1,2018-04-17,Mallonn et al. 2019,2.9,1.3,ExoClock literature
10,2,2010-05-22,Simpson et al. 2011,-0.2,0.9,ExoClock literature
