,index,date,observer,oc,oce,source
0,16,2020-10-09,Martin Smith,-1.9,4.3,ExoClock observation
1,17,2020-08-10,Carmelo Falco,2.2,0.9,ExoClock observation
2,18,2020-08-03,Carmelo Falco,-2.4,1.4,ExoClock observation
3,20,2018-08-29,Yves Jongen,-0.3,1.6,ExoClock observation
4,19,2018-08-29,Ana\xc3\xabl W\xc3\xbcnsche,2.0,1.0,ExoClock observation
5,0,2012-09-25,Deming et al. 2013,-0.5,0.3,ExoClock literature
6,21,2009-10-30,Filip Walter,-2.9,1.6,ExoClock observation
7,22,2008-11-22,Alessandro Marchini,-2.7,2.2,ExoClock observation
8,1,2005-09-13,Miller-Ricci et al. 2008,-0.1,1.1,ExoClock literature
9,2,2005-09-09,Miller-Ricci et al. 2008,0.5,1.1,ExoClock literature
10,3,2005-09-06,Miller-Ricci et al. 2008,-0.1,0.9,ExoClock literature
11,4,2005-09-02,Miller-Ricci et al. 2008,-0.5,0.9,ExoClock literature
12,5,2005-08-30,Miller-Ricci et al. 2008,-0.5,0.8,ExoClock literature
13,6,2005-08-26,Miller-Ricci et al. 2008,-0.5,0.8,ExoClock literature
14,7,2005-08-23,Miller-Ricci et al. 2008,0.5,0.8,ExoClock literature
15,8,2005-08-19,Miller-Ricci et al. 2008,-0.6,0.9,ExoClock literature
16,9,2005-08-16,Miller-Ricci et al. 2008,1.6,0.8,ExoClock literature
17,10,2005-08-12,Miller-Ricci et al. 2008,0.2,0.9,ExoClock literature
18,11,2005-08-08,Miller-Ricci et al. 2008,1.3,0.7,ExoClock literature
19,12,2005-08-05,Miller-Ricci et al. 2008,1.2,1.1,ExoClock literature
20,13,2004-08-28,Miller-Ricci et al. 2008,0.6,0.9,ExoClock literature
21,14,2004-08-25,Miller-Ricci et al. 2008,-0.5,0.7,ExoClock literature
22,15,2004-08-17,Miller-Ricci et al. 2008,-0.6,1.0,ExoClock literature
