date,observer,oc,oce,source
2021-10-12,Mike Miller,5.4,1.2,ExoClock observation
2021-08-05,Yves Jongen,1.5,0.4,ExoClock observation
2021-07-16,Martin Crow,0.6,0.7,ExoClock observation
2021-07-16,Yves Jongen,0.3,0.6,ExoClock observation
2021-07-03,Kevin Hills,-0.6,0.4,ExoClock observation
2021-06-26,Enrique Arce,1.4,1.0,ExoClock observation
2021-06-10,Andre Kovacs,-2.9,2.4,ExoClock observation
2020-08-19,Iakovos Strikis,-3.8,2.0,ExoClock observation
2020-08-18,Yves Jongen,0.2,0.4,ExoClock observation
2020-08-05,Yves Jongen,0.2,1.0,ExoClock observation
2020-07-08,Alberto Tomatis,-1.5,0.6,ExoClock observation
2020-07-08,Mauro Cal\xc3\xb3,-1.0,0.7,ExoClock observation
2020-07-08,Francois Regembal,0.1,1.2,ExoClock observation
2020-07-08,Nikolaos Paschalis,0.4,1.3,ExoClock observation
2020-07-08,Yves Jongen,-0.6,0.4,ExoClock observation
2020-07-02,Yves Jongen,0.1,0.4,ExoClock observation
2020-06-25,Adrian Jones,-0.4,0.6,ExoClock observation
2020-06-25,Yves Jongen,-1.7,0.7,ExoClock observation
2020-06-23,Martin Fowler,0.2,1.9,ExoClock observation
2020-06-09,Roger Dymock,2.5,5.8,ExoClock observation
2020-04-09,Yves Jongen,0.2,0.6,ExoClock observation
2019-09-28,Lionel Rousselot,0.1,0.7,ExoClock observation
2019-07-08,Nick Sioulas,-0.8,1.0,ExoClock observation
2019-07-08,Giuseppe Marino,-2.2,0.6,ExoClock observation
2019-07-01,Yves Jongen,2.5,0.6,ExoClock observation
2019-07-01,Fabio Salvaggio,0.8,0.7,ExoClock observation
2018-10-04,Lionel Rousselot,0.4,0.9,ExoClock observation
2018-09-27,Ana\xc3\xabl W\xc3\xbcnsche,-0.6,1.0,ExoClock observation
2017-10-03,\xc3\x96zt\xc3\xbcrk et al. 2019,4.1,1.0,ExoClock literature
2017-09-12,\xc3\x96zt\xc3\xbcrk et al. 2019,-4.0,0.7,ExoClock literature
2017-08-29,Ana\xc3\xabl W\xc3\xbcnsche,0.5,0.6,ExoClock observation
2017-07-20,\xc3\x96zt\xc3\xbcrk et al. 2019,-2.0,0.6,ExoClock literature
2017-07-06,\xc3\x96zt\xc3\xbcrk et al. 2019,-0.0,1.2,ExoClock literature
2017-06-22,\xc3\x96zt\xc3\xbcrk et al. 2019,-2.2,0.6,ExoClock literature
2016-09-11,\xc3\x96zt\xc3\xbcrk et al. 2019,0.2,0.4,ExoClock literature
2016-08-28,Nikolaos Paschalis,-0.7,1.3,ExoClock observation
2016-08-21,Ana\xc3\xabl W\xc3\xbcnsche,3.4,0.9,ExoClock observation
2016-08-14,Ana\xc3\xabl W\xc3\xbcnsche,2.4,0.3,ExoClock observation
2016-08-07,Ana\xc3\xabl W\xc3\xbcnsche,2.6,0.7,ExoClock observation
2015-08-28,Ana\xc3\xabl W\xc3\xbcnsche,-1.6,0.4,ExoClock observation
2007-05-17,Alonso et al. 2008,-0.2,0.2,ExoClock literature
2005-08-04,Rauer et al. 2010,2.0,4.3,ExoClock literature
2005-07-28,Rauer et al. 2010,6.3,5.8,ExoClock literature
