date,observer,oc,oce,source
2022-01-16,Adrian Jones,-2.4,2.6,ExoClock observation
2021-03-27,Carmelo Falco,0.3,2.0,ExoClock observation
2021-02-10,John Savage,2.1,1.2,ExoClock observation
2021-02-10,Anaël Wünsche,2.9,3.0,ExoClock observation
2021-02-08,Yves Jongen,1.8,1.2,ExoClock observation
2021-02-05,Yves Jongen,-3.7,2.0,ExoClock observation
2021-01-22,Yves Jongen,0.5,1.7,ExoClock observation
2020-12-11,Jean-Claude MARIO,-0.8,1.3,ExoClock observation
2020-12-08,Yves Jongen,-1.6,1.4,ExoClock observation
2020-11-27,Nikolaos Paschalis,3.9,2.6,ExoClock observation
2020-04-04,Martin Crow,-2.0,2.0,ExoClock observation
2020-04-04,Simon Dawes,1.0,2.7,ExoClock observation
2020-02-05,Claudio Lopresti,-3.5,2.2,ExoClock observation
2020-02-05,Valère Perroud,-1.9,2.4,ExoClock observation
2019-02-13,Anaël Wünsche,3.1,1.3,ExoClock observation
2018-02-22,Anaël Wünsche,2.7,1.9,ExoClock observation
2012-01-19,Maciejewski et al. 2016,1.0,0.8,ExoClock literature
2011-01-10,Enoch et al. 2011,-0.0,0.2,ExoClock literature
2010-09-16,Johnson et al. 2011,-0.5,0.5,ExoClock literature
