date,observer,oc,oce,source
2022-02-27,Manfred raetz,3.6,0.9936,ETD
2022-02-08,Etienne bertrand,-2.016,0.864,ETD
2022-02-08,Etienne bertrand,-2.736,0.9792,ETD
2021-12-21,Manfred raetz,-4.752,0.5472,ETD
2021-04-09,Snaevarr gudmundsson,-0.72,1.5696,ETD
2021-03-25,Anaël wünsche,-1.44,0.8208,ETD
2021-03-25,Yves jongen,-3.168,1.4832,ETD
2021-02-23,Stephane ferratfiat,-4.032,1.656,ETD
2021-02-23,Caat - centro astronomico del alto turia,-15.696,3.312,ETD
2021-02-19,Ferran grau horta,-5.616,2.9952,ETD
2021-01-05,Alberto garcía sánchez,-4.896,1.4976,ETD
2020-11-21,Bernhard wenzel,4.176,5.8752,ETD
2020-11-17,Snaevarr gudmundsson,1.728,1.4688,ETD
2020-11-17,Anaël wünsche,1.584,1.0512,ETD
2020-09-14,Jean plazas,19.728,3.7008,ETD
2020-06-27,Bernhard wenzel,5.616,,ETD
2020-04-09,Nosáľ p.,5.04,4.3488,ETD
2020-04-09,"Francesco scaggiante, danilo zardin,marco fiaschi",-0.288,1.6128,ETD
2020-04-09,Yves jongen,-0.432,1.2384,ETD
2020-03-21,Manfred raetz,6.48,1.44,ETD
2020-03-21,Michael theusner,-0.576,1.8864,ETD
2020-03-21,Veli-pekka hentunen,-7.632,0.7488,ETD
2020-03-06,Yves jongen,1.44,1.6416,ETD
2020-02-20,Yves jongen,2.592,1.0944,ETD
2020-02-20,Nosáľ p.,-1.872,5.3424,ETD
2020-02-20,Anaël wünsche,-2.448,1.44,ETD
2020-01-21,Manfred raetz,3.312,1.2672,ETD
2019-12-14,Ferran grau horta,-7.632,0.8784,ETD
2019-09-26,Pere guerra,-3.744,0.7776,ETD
2019-09-11,Yves jongen,4.176,1.0944,ETD
2019-09-11,Jean plazas,2.304,1.872,ETD
2019-09-11,Anaël wünsche,-5.04,1.2096,ETD
2019-04-21,Manfred raetz,1.296,0.8064,ETD
2019-04-06,Veli-pekka hentunen,-1.728,0.936,ETD
2019-03-03,Jérôme borel,-8.784,3.8304,ETD
2019-02-16,Vojtěch dienstbier,0.288,1.2384,ETD
2019-02-16,Vojtěch dienstbier,-6.624,2.5488,ETD
2019-02-01,Snaevarr gudmundsson,-9.504,1.9872,ETD
2018-11-29,Medulka t.,-9.792,1.3104,ETD
2018-06-20,F. lomoz,-7.776,2.5056,ETD
2018-02-12,Marc bretton,4.608,1.4976,ETD
2018-01-28,Marc bretton,5.04,1.4256,ETD
2018-01-13,"Francesco scaggiante, danilo zardin",-5.472,1.2816,ETD
2017-12-25,Pere guerra,-6.048,0.7344,ETD
2017-08-04,"Brahic 92 (ballet, néel, delisle, stefani, gouyette, morelli, maline, muzeau, laclef and cordebois)",3.312,1.9008,ETD
2017-03-14,Marc bretton,-2.88,1.512,ETD
2017-01-24,Faustino garcia,6.048,1.2096,ETD
2015-01-02,Diego lópez,-4.752,1.3392,ETD
2013-12-25,Crouzet et al. (2016),-0.72,0.792,ETD
