date,observer,oc,oce,source
2022-03-17,Kevin Johnson,-4.8,2.4,ExoClock observation
2022-03-10,Paolo Arcangelo Matassa,-3.6,1.4,ExoClock observation
2022-02-01,Andras Dan,-1.8,1.3,ExoClock observation
2021-04-02,Alberto Tomatis,0.3,1.4,ExoClock observation
2021-03-03,Manfred Raetz,-1.3,1.3,ExoClock observation
2021-02-04,Yves Jongen,1.5,1.2,ExoClock observation
2021-01-14,Yves Jongen,-3.2,1.2,ExoClock observation
2021-01-11,Yves Jongen,1.4,1.0,ExoClock observation
2021-01-11,Ana\xc3\xabl W\xc3\xbcnsche,-4.3,1.0,ExoClock observation
2021-01-11,Adam Popowicz,-5.2,1.9,ExoClock observation
2020-11-22,Ana\xc3\xabl W\xc3\xbcnsche,-2.1,1.3,ExoClock observation
2020-03-29,Phil Evans,-3.3,0.9,ExoClock observation
2020-03-12,Danilo Sedita,-0.6,1.0,ExoClock observation
2020-03-12,Nikolaos Paschalis,-1.8,1.4,ExoClock observation
2020-03-12,Dimitrios Deligeorgopoulos,-3.2,2.3,ExoClock observation
2020-03-12,Iakovos Strikis,-4.1,2.2,ExoClock observation
2020-03-05,Alessandro Nastasi,1.2,1.4,ExoClock observation
2019-03-29,Ana\xc3\xabl W\xc3\xbcnsche,0.5,1.9,ExoClock observation
2019-03-22,Ana\xc3\xabl W\xc3\xbcnsche,-1.9,1.4,ExoClock observation
2019-02-20,Ana\xc3\xabl W\xc3\xbcnsche,2.1,0.9,ExoClock observation
2017-03-17,Ana\xc3\xabl W\xc3\xbcnsche,0.6,0.9,ExoClock observation
2016-03-26,Ana\xc3\xabl W\xc3\xbcnsche,1.9,0.4,ExoClock observation
2015-04-12,Ana\xc3\xabl W\xc3\xbcnsche,1.7,0.7,ExoClock observation
2015-04-12,Ana\xc3\xabl W\xc3\xbcnsche,-1.1,0.9,ExoClock observation
2012-07-02,G\xc3\xb3mez Maqueo Chew et al. 2013,-0.3,0.2,ExoClock literature
