observer,oc,oceu,ocel,date,source
Martin Crow,3.8,5.8,5.8,2021-08-03 12:28:46.651226112,ExoClock observation
Manfred Raetz,13.1,5.8,5.8,2020-07-30 11:39:53.054424320,ExoClock observation
Manfred raetz,11.664,2.088,2.088,2020-07-30 11:31:33.600000000,ETD
Tomasz popajewski,12.096,7.1568,7.1568,2018-06-14 08:48:51.264000000,ETD
"Dalouzy jean-christophe, dherbecourt marwane",4.752,2.0016,2.0016,2016-07-29 12:12:42.048000256,ETD
"Mravik j., grnja j.",5.184,10.2816,10.2816,2013-07-25 11:39:31.392000256,ETD
Shadic s.,4.32,5.8032,5.8032,2012-08-18 19:59:12.191999744,ETD
"De pree, makely",-31.824,7.8912,7.8912,2011-07-14 19:57:16.416000256,ETD
Hormuth f.,-0.0,1.368,1.368,2010-08-29 11:48:16.704000256,ETD
Naves r.,-42.768,4.9536,4.9536,2010-08-29 11:05:33.215999744,ETD
Scarmato t.,-39.312,9.1584,9.1584,2010-07-28 12:40:52.896000000,ETD
Lomoz f.,-25.2,3.6864,3.6864,2010-07-21 10:35:30.047999744,ETD
Scarmato t.,-24.048,7.1712,7.1712,2010-07-14 08:17:02.688000000,ETD
Kipping&bakos 2010,0.288,0.5472,0.5472,2009-06-11 22:25:18.336000256,ETD
Kipping&bakos 2010,0.864,0.5616,0.5616,2009-06-08 09:16:06.815999744,ETD
Kipping&bakos 2010,-0.576,0.5904,0.5904,2009-06-04 20:04:56.928000256,ETD
Kipping&bakos 2010,0.72,0.5472,0.5472,2009-06-01 06:56:28.608000000,ETD
Kipping&bakos 2010,0.288,0.5328,0.5328,2009-05-28 17:46:17.472000000,ETD
Kipping&bakos 2010,-0.144,0.5904,0.5904,2009-05-25 04:35:57.695999744,ETD
Kipping&bakos 2010,1.152,0.5472,0.5472,2009-05-21 15:27:29.376000256,ETD
Kipping&bakos 2010,-0.0,0.5616,0.5616,2009-05-18 02:16:31.584000256,ETD
Kipping&bakos 2010,0.576,0.576,0.576,2009-05-14 13:07:21.791999744,ETD
Kipping&bakos 2010,0.144,0.576,0.576,2009-05-10 23:57:06.336000256,ETD
Kipping&bakos 2010,0.864,0.576,0.576,2009-05-07 10:48:08.640000256,ETD
Koch et al.. 2010,0.288,0.3024,0.3024,2009-05-03 21:37:45.408000000,ETD
Kipping&bakos 2010,0.144,0.5616,0.5616,2009-05-03 21:37:31.583999744,ETD
